Order ID,Product ID,Product Category,Quantity,Unit Price,Total Price,Order Date,Customer ID,Payment Type,Order Status
873ff350-854d-4bd8-aebf-6cc5e1a6d3b7,26ab320e-62f2-4203-be68-f8740085d796,Sports & Outdoors,4,154.05050900208764,616.2020360083505,2023-08-02,292fe8cf-4d60-437b-8488-4c225e84d48d,Credit Card,Completed
7cb2641e-ea6b-4faf-a7ab-24992d5573fa,8c0d7ba9-1e6b-412a-8359-97d964ad19e5,Home & Kitchen,5,275.5399076850554,1377.699538425277,2023-09-03,a026178d-e3ed-4d45-a49c-8336479b2114,PayPal,Refunded
94e0de8a-419d-46e1-9e7c-65c730b89c65,5d65b6c7-1894-4207-b7e3-b53cc2d5e5e3,Beauty & Health,3,56.41009812094193,169.2302943628258,2023-12-06,808e8010-1552-42dd-a9c5-eacd4fde3283,Debit Card,Cancelled
88cc8ccf-f018-46ac-ba3b-f36b5cf4e429,b3f6c6a5-d3cb-49a4-b53b-3996be815c28,Books,2,176.41090578156516,352.8218115631303,2023-07-22,6184896b-4fb2-4ae0-9851-65033dae1319,PayPal,Pending
eb520575-720e-456e-9dc5-c2c3bb887bfc,fed52dbf-49c6-4128-8b18-c36e50184a04,Electronics,3,409.8921436956478,1229.6764310869435,2023-04-08,24689017-68fc-42ba-8ae6-f0ad7155e0d6,Credit Card,Cancelled
9208a712-e102-4f97-a0e0-345ffc6744cb,1a2e7ec3-4117-487d-9a7c-6793e93a46e8,Home & Kitchen,2,369.0590086136116,738.1180172272232,2023-07-03,f172dd53-ebd6-49cd-8545-3853788e142b,PayPal,Cancelled
ada3eefe-8782-4af1-b248-e4aa81a32cf0,25e1a2fe-fca6-4b43-9658-3ee89a5be3a8,Clothing,2,291.9436399798628,583.8872799597256,2023-03-10,eeafe5a1-d9be-4edc-9881-8b60f5eca86d,Credit Card,Pending
56866a60-0db6-4e10-9d19-9fbe6ecec552,b7c8000e-79f8-41c6-b689-d9a02fd651fa,Clothing,2,222.60825288564152,445.21650577128304,2023-12-20,8f06c738-60f9-48ff-9279-25d12da8f9b7,Credit Card,Refunded
1e0c36b0-1c2b-4ad5-a479-b0ea24fb4824,bf8cc408-2a84-476f-bba8-900c9da435eb,Sports & Outdoors,5,263.0393714523934,1315.1968572619671,2023-10-21,d4ca907b-f84a-460c-9a4d-7819b166dffc,PayPal,Refunded
83747baf-e907-4db6-952d-2d8f8fa8f801,0af4a42d-7c59-4d37-8c7a-c22392574b73,Sports & Outdoors,4,116.0724429299021,464.2897717196084,2023-02-19,fec4616d-5ebc-4351-8509-430bdf9c37c4,PayPal,Refunded
